CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-1-1,15,7,-1,6,2,-3,95,81,67,30.45,30.36,30.26,10,10,9,13,6,17,T,2,,306
2010-1-2,7,1,-5,-4,-8,-11,82,71,59,30.54,30.51,30.44,10,10,10,14,7,20,0.00,0,,329
2010-1-3,12,2,-8,3,-4,-12,87,74,61,30.55,30.51,30.43,10,10,8,14,6,16,T,3,Snow,325
2010-1-4,17,9,1,7,4,-2,87,74,61,30.44,30.35,30.29,10,10,10,14,8,18,0.00,3,,316
2010-1-5,19,13,7,9,5,3,80,71,62,30.31,30.26,30.23,10,10,8,14,6,17,T,2,,315
2010-1-6,18,10,1,14,8,-3,87,80,73,30.28,30.20,30.09,9,7,5,7,1,9,T,7,Snow,328
2010-1-7,26,22,17,23,18,14,96,89,81,30.12,29.97,29.86,6,2,0,26,8,31,0.36,8,Fog-Snow,5
2010-1-8,23,9,-5,18,6,-7,91,76,61,30.49,30.35,30.15,10,9,4,22,8,28,T,5,Snow,354
2010-1-9,15,2,-11,5,-4,-15,87,74,61,30.59,30.54,30.48,10,10,8,10,3,14,0.00,1,,324
2010-1-10,17,6,-5,9,2,-7,87,76,64,30.49,30.26,30.02,10,9,7,18,7,24,T,2,Snow,214
2010-1-11,26,19,12,18,12,6,80,74,68,30.47,30.24,30.03,10,9,6,17,8,23,T,6,Snow,334
2010-1-12,26,14,2,16,10,-1,96,80,63,30.51,30.40,30.21,10,8,3,13,5,18,0.00,0,,222
2010-1-13,34,25,15,28,19,12,92,81,69,30.19,30.04,29.92,6,5,4,13,8,20,0.00,0,,201
2010-1-14,37,31,25,32,28,21,92,84,75,30.19,29.99,29.88,6,4,3,14,7,20,0.00,5,,243
2010-1-15,28,26,24,24,24,22,92,88,84,30.32,30.26,30.19,8,6,3,13,5,17,T,8,Snow,293
