CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-1-1,27,19,11,20,14,2,81,71,61,30.24,29.89,29.71,10,9,2,21,11,29,T,6,Snow,198
2009-1-2,27,16,4,19,5,0,91,70,49,30.09,29.93,29.69,10,10,7,17,7,29,0.00,1,,292
2009-1-3,33,21,8,29,20,2,88,75,61,30.10,29.93,29.77,10,8,5,23,12,30,T,6,Rain,107
2009-1-4,33,20,7,31,22,-2,92,73,54,30.32,30.00,29.81,10,5,1,17,8,25,0.02,6,Rain-Snow,310
2009-1-5,27,17,6,10,6,-1,79,63,46,30.32,30.12,29.90,10,10,10,13,6,18,0.00,0,,203
2009-1-6,30,18,6,25,18,4,92,78,63,29.88,29.63,29.41,10,8,5,16,6,20,T,7,Snow,147
2009-1-7,28,20,11,25,17,5,92,81,70,29.60,29.36,29.28,8,4,0,17,7,23,0.01,8,Snow,291
2009-1-8,18,12,6,9,5,0,84,70,56,30.05,29.81,29.56,10,8,3,12,5,16,T,3,Snow,292
2009-1-9,19,13,6,14,10,4,92,81,70,30.21,30.05,29.98,10,5,0,16,9,21,0.19,7,Fog-Snow,62
2009-1-10,18,10,2,13,10,1,87,80,73,30.23,30.18,30.12,10,9,3,18,9,23,T,7,Snow,352
2009-1-11,19,10,1,11,6,0,91,79,67,30.19,30.12,30.03,10,7,2,9,2,13,T,4,Snow,251
2009-1-12,20,9,-3,18,11,-6,96,88,79,30.17,30.01,29.89,5,2,0,15,5,20,0.15,6,Fog-Snow,157
2009-1-13,16,3,-10,12,-3,-12,91,74,57,30.26,30.14,29.92,10,9,4,22,7,31,T,4,Snow,319
2009-1-14,7,0,-7,-3,-7,-19,83,68,53,30.52,30.17,30.02,10,5,2,21,10,25,0.04,5,Snow,25
2009-1-15,-2,-8,-15,-16,-20,-22,67,59,50,30.71,30.64,30.53,10,10,10,13,6,18,0.00,0,,293
2009-1-16,1,-9,-19,-9,-16,-22,82,67,51,30.71,30.55,30.23,10,10,9,12,4,14,T,1,Snow,187
2009-1-17,23,11,-1,16,7,-7,87,77,67,30.23,29.83,29.59,9,5,1,23,10,29,0.07,8,Snow,235
2009-1-18,16,9,2,11,5,-2,91,76,61,29.91,29.83,29.75,10,6,1,10,6,15,0.01,4,Snow,308
2009-1-19,20,10,-1,13,8,0,91,79,67,30.04,29.92,29.84,10,6,1,12,7,15,0.04,3,Snow,314
2009-1-20,19,10,1,9,5,-1,95,78,61,30.22,30.12,30.04,10,10,10,15,6,18,0.00,0,,305
2009-1-21,24,18,11,15,12,8,92,77,62,30.01,29.91,29.82,10,7,3,9,4,14,0.00,2,,225
2009-1-22,30,20,10,21,14,8,100,87,74,29.93,29.85,29.72,5,3,0,9,4,12,0.00,3,Fog,193
2009-1-23,27,17,7,18,12,-5,100,78,55,30.43,29.95,29.71,10,5,2,21,9,30,0.00,3,,313
2009-1-24,8,2,-4,-6,-11,-13,69,57,45,30.54,30.48,30.42,10,10,10,12,6,16,0.00,0,,296
2009-1-25,11,4,-3,-8,-10,-11,71,56,41,30.44,30.41,30.38,10,10,10,12,4,16,0.00,0,,285
2009-1-26,13,6,-1,-5,-7,-10,66,54,41,30.52,30.48,30.44,10,10,10,9,3,10,0.00,5,,284
2009-1-27,13,2,-10,3,-4,-13,82,65,48,30.55,30.38,30.11,10,8,2,7,1,8,T,4,Snow,333
2009-1-28,15,5,-6,8,0,-9,95,80,64,30.12,29.96,29.81,10,7,4,12,5,17,T,1,Snow,212
2009-1-29,24,18,11,19,13,2,84,70,56,29.98,29.85,29.74,10,7,3,15,7,22,0.01,7,Snow,276
2009-1-30,13,6,-1,1,-4,-6,79,66,52,30.16,30.10,29.99,10,10,10,13,5,17,T,1,,291
2009-1-31,39,25,10,28,18,1,81,70,59,30.05,29.76,29.55,10,9,6,17,9,24,0.00,3,,213
2009-2-1,38,31,23,24,18,16,74,57,40,29.99,29.88,29.65,10,10,10,16,7,25,0.00,0,,262
2009-2-2,25,14,2,17,5,-6,81,61,41,30.09,30.02,29.97,10,10,10,16,8,26,0.00,0,,289
2009-2-3,14,8,1,3,-1,-7,83,69,55,30.45,30.22,30.05,10,9,2,21,12,29,T,4,Snow,328
2009-2-4,14,5,-5,-2,-5,-9,79,66,53,30.61,30.54,30.46,10,10,10,13,5,15,0.00,0,,291
2009-2-5,26,14,2,16,6,-3,92,71,50,30.49,30.25,30.12,10,9,5,20,8,25,0.00,0,,187
2009-2-6,40,21,2,35,18,0,92,74,55,30.15,29.99,29.71,8,6,3,16,7,21,0.00,0,,169
2009-2-7,45,40,34,41,33,27,89,74,58,30.20,29.84,29.62,10,8,6,18,9,24,0.00,1,,249
2009-2-8,39,32,25,27,25,21,92,76,59,30.38,30.31,30.23,10,6,1,15,5,22,0.00,3,,209
2009-2-9,48,38,27,45,34,27,100,88,76,30.27,29.99,29.61,7,2,0,18,12,24,0.12,7,Fog-Rain,147
2009-2-10,54,43,32,45,38,31,93,70,46,29.71,29.61,29.52,10,10,8,21,11,35,0.00,1,,198
2009-2-11,40,36,32,36,32,29,100,88,75,29.75,29.60,29.46,10,8,2,18,8,26,0.15,6,Rain,318
2009-2-12,39,32,25,29,23,17,82,63,44,30.14,29.96,29.78,10,10,10,20,9,28,0.00,5,,284
2009-2-13,30,28,25,25,21,18,92,78,63,30.22,30.16,30.10,10,7,2,14,5,20,0.10,7,Snow,323
2009-2-14,32,25,18,23,16,10,92,66,39,30.30,30.17,30.09,10,8,2,15,7,21,T,4,Snow,318
2009-2-15,26,19,12,13,9,6,80,65,50,30.45,30.39,30.31,10,10,10,14,6,17,0.00,0,,329
2009-2-16,32,19,6,18,11,3,91,65,39,30.45,30.36,30.18,10,10,8,15,5,21,0.00,1,,195
2009-2-17,40,33,26,32,26,19,96,78,59,30.15,29.77,29.50,10,7,2,20,12,25,0.01,5,Rain,178
2009-2-18,34,23,11,34,26,0,100,81,61,29.94,29.51,29.37,10,3,0,25,10,36,0.12,8,Fog-Snow,322
2009-2-19,22,14,6,3,0,-2,76,56,36,30.16,30.08,29.95,10,10,10,21,11,28,0.00,0,,309
2009-2-20,27,17,6,18,6,1,79,58,37,30.16,30.09,29.98,10,9,2,13,4,15,T,2,Snow,178
2009-2-21,25,22,19,21,18,14,96,85,74,30.13,29.89,29.74,10,2,0,21,13,26,0.37,8,Fog-Snow,351
2009-2-22,21,14,7,12,6,1,80,66,51,30.57,30.37,30.14,10,9,4,15,7,20,T,2,Snow,302
2009-2-23,23,9,-5,6,2,-7,91,68,45,30.68,30.58,30.44,10,10,8,10,3,12,0.00,0,,110
2009-2-24,36,24,12,25,18,4,80,68,56,30.43,30.22,30.08,10,9,6,20,9,24,0.00,3,,174
2009-2-25,47,39,30,35,30,26,96,78,60,30.14,30.00,29.93,9,7,5,14,7,18,T,3,,213
2009-2-26,37,31,25,36,29,21,96,86,75,30.15,29.79,29.54,9,4,1,28,11,35,1.04,6,Rain-Snow-Thunderstorm,52
2009-2-27,26,19,12,21,11,2,88,72,56,30.49,30.11,29.68,10,10,5,25,15,33,T,4,Snow,15
2009-2-28,25,17,9,12,7,1,83,67,50,30.51,30.45,30.40,10,9,4,17,8,24,T,3,Snow,1
2009-3-1,19,13,7,2,0,-3,73,56,39,30.64,30.58,30.45,10,10,10,21,11,28,0.00,0,,9
2009-3-2,22,14,5,6,2,-2,87,65,43,30.64,30.60,30.57,10,10,10,14,5,16,0.00,0,,31
2009-3-3,28,16,4,16,10,2,91,71,50,30.58,30.47,30.31,10,10,8,16,7,23,0.00,3,,169
2009-3-4,42,34,27,26,19,15,69,56,35,30.32,30.17,30.00,10,10,9,17,11,21,0.00,2,,168
2009-3-5,60,47,34,47,39,26,86,73,60,29.98,29.72,29.59,10,8,5,23,10,30,0.00,3,,187
2009-3-6,55,42,29,45,37,28,100,78,55,30.06,29.87,29.67,10,5,0,14,4,17,0.00,1,Fog,301
2009-3-7,41,35,29,39,36,29,100,95,89,30.04,29.94,29.87,6,2,0,9,2,12,1.07,7,Fog-Rain,356
2009-3-8,38,34,30,33,30,27,100,88,76,30.08,29.79,29.57,10,4,0,23,12,30,1.04,7,Fog-Rain-Snow,28
2009-3-9,44,34,24,36,31,23,100,85,70,30.22,30.12,30.02,10,6,0,16,6,20,0.23,4,Fog-Rain,133
2009-3-10,51,37,23,50,39,23,100,88,76,30.01,29.73,29.53,10,3,0,21,8,35,0.46,8,Fog-Rain,137
2009-3-11,25,18,10,16,5,0,68,58,47,30.69,30.32,29.82,10,10,9,25,13,41,T,2,Snow,288
2009-3-12,23,14,5,11,2,-3,76,58,39,30.77,30.68,30.57,10,10,10,13,4,16,0.00,0,,357
2009-3-13,39,28,17,21,15,10,80,60,40,30.55,30.40,30.27,10,9,6,15,5,21,0.00,3,,200
2009-3-14,50,36,21,24,22,17,84,60,36,30.24,30.16,30.07,10,9,6,9,4,16,0.00,0,,198
2009-3-15,56,40,24,31,27,23,92,62,32,30.13,30.10,30.07,10,8,5,16,4,21,0.00,1,,175
2009-3-16,63,47,31,41,35,27,85,64,43,30.17,30.12,30.07,10,8,5,16,6,22,0.00,2,,183
2009-3-17,71,57,42,45,41,36,82,61,40,30.07,29.96,29.86,10,9,8,22,9,45,0.00,0,,225
2009-3-18,58,47,35,36,24,16,75,49,22,30.24,30.15,30.05,10,10,10,21,6,29,0.00,2,,318
2009-3-19,43,33,23,20,18,15,81,57,33,30.47,30.39,30.25,10,10,10,17,7,22,0.00,0,,350
2009-3-20,41,30,18,32,21,16,92,68,44,30.52,30.44,30.34,10,9,2,15,7,18,0.07,4,Rain-Snow,160
2009-3-21,61,47,33,38,33,30,92,62,32,30.36,30.31,30.27,10,9,3,17,6,21,T,3,Snow,184
2009-3-22,60,45,30,38,33,29,92,68,44,30.40,30.33,30.27,8,6,3,23,10,31,T,2,,86
2009-3-23,46,42,37,35,34,30,85,69,53,30.26,30.13,29.98,10,7,3,26,18,35,0.24,6,Rain,120
2009-3-24,58,49,39,54,42,30,100,79,58,29.97,29.76,29.54,10,4,1,24,13,41,2.28,8,Rain,129
2009-3-25,44,40,36,40,31,29,83,77,70,29.85,29.73,29.64,10,10,10,17,8,25,0.00,7,,229
2009-3-26,51,43,34,35,31,26,89,71,52,30.00,29.88,29.79,10,9,7,17,6,23,0.00,3,,253
2009-3-27,39,33,26,25,19,17,81,61,40,30.08,30.04,30.00,10,10,10,14,6,17,0.00,3,,341
2009-3-28,35,29,23,27,24,20,92,77,61,30.05,29.80,29.60,10,5,1,23,13,28,0.25,6,Snow,30
2009-3-29,44,37,29,27,25,18,92,66,39,29.91,29.61,29.51,10,6,1,22,13,29,0.06,6,Snow,341
2009-3-30,46,34,22,25,18,13,81,59,36,30.10,30.00,29.92,10,10,10,23,9,28,0.00,0,,96
2009-3-31,51,42,33,46,38,25,100,78,56,29.93,29.56,29.39,10,6,1,23,13,30,0.49,8,Rain,136
2009-4-1,49,41,33,27,25,22,75,56,37,29.82,29.60,29.48,10,10,5,20,10,30,T,6,Snow,228
2009-4-2,44,38,31,35,29,25,92,71,49,29.84,29.76,29.63,10,9,6,13,5,16,0.06,6,Rain,357
2009-4-3,47,40,32,32,26,24,78,60,42,29.94,29.74,29.60,10,10,10,20,10,28,0.00,3,,340
2009-4-4,50,39,27,31,26,24,85,64,42,30.11,30.03,29.96,10,10,10,16,5,21,0.00,1,,41
2009-4-5,39,35,31,29,26,21,92,72,52,30.01,29.91,29.81,10,7,0,28,16,33,0.07,8,Fog-Snow,44
2009-4-6,45,37,29,23,18,10,69,48,27,29.96,29.91,29.88,10,10,10,26,15,35,0.00,3,,344
2009-4-7,49,39,28,17,12,7,58,38,18,29.91,29.81,29.73,10,10,10,24,11,32,0.00,0,,306
2009-4-8,54,41,27,20,16,10,54,37,19,29.78,29.71,29.67,10,10,10,16,5,22,0.00,1,,294
2009-4-9,57,42,27,26,22,20,75,51,26,29.97,29.87,29.80,10,10,10,17,5,21,0.00,0,,15
2009-4-10,51,41,31,26,24,23,78,57,36,30.22,30.07,29.96,10,10,10,24,12,30,0.00,0,,38
2009-4-11,52,40,28,23,19,13,75,48,21,30.40,30.34,30.23,10,10,10,15,6,22,0.00,0,,39
2009-4-12,56,42,27,23,17,9,63,39,15,30.43,30.32,30.17,10,10,10,21,8,29,0.00,0,,92
2009-4-13,43,40,36,29,23,17,70,54,38,30.18,29.95,29.85,10,10,8,28,14,33,T,6,Rain-Snow,64
2009-4-14,59,48,37,30,24,19,70,47,23,30.09,29.96,29.88,10,10,8,23,13,36,T,4,Snow,29
2009-4-15,65,48,30,22,19,16,51,34,17,30.33,30.22,30.09,10,10,10,17,7,24,0.00,0,,40
2009-4-16,69,49,30,29,23,19,79,39,17,30.45,30.40,30.35,10,10,10,13,2,16,0.00,0,,128
2009-4-17,70,50,29,34,28,22,78,49,20,30.43,30.33,30.19,10,10,10,12,3,23,0.00,0,,197
2009-4-18,71,54,36,52,42,32,85,60,35,30.18,30.05,29.96,10,9,5,13,2,22,0.02,3,Rain,265
2009-4-19,54,47,40,54,44,39,100,87,74,29.96,29.88,29.81,8,4,2,14,9,17,0.69,8,Rain,20
2009-4-20,51,43,35,39,36,32,100,78,56,29.81,29.68,29.60,10,9,5,22,12,30,0.23,8,Rain,320
2009-4-21,47,39,30,37,34,28,100,80,60,29.78,29.62,29.52,10,8,4,26,11,36,0.28,6,Rain-Snow,306
2009-4-22,60,45,30,36,29,24,89,59,28,30.02,29.85,29.73,10,10,10,20,8,25,0.00,2,,324
2009-4-23,66,51,36,41,36,28,79,57,34,30.08,29.96,29.80,10,10,10,24,12,31,0.02,3,Rain,144
2009-4-24,82,63,44,59,52,40,93,68,43,29.79,29.73,29.65,10,9,4,28,12,38,T,1,Rain,184
2009-4-25,70,56,42,59,47,39,93,80,66,30.15,29.98,29.71,10,5,0,22,9,26,1.94,8,Rain-Thunderstorm,26
2009-4-26,69,55,41,62,48,39,100,79,57,30.16,30.02,29.83,10,6,2,22,9,28,0.72,7,Rain-Thunderstorm,121
2009-4-27,65,56,46,56,52,38,93,80,67,30.21,29.99,29.81,10,10,8,15,8,24,0.01,7,Rain,251
2009-4-28,60,51,41,37,33,28,82,57,31,30.45,30.39,30.22,10,10,10,23,13,29,0.00,1,,54
2009-4-29,55,50,45,49,42,35,89,77,65,30.42,30.29,30.11,10,9,4,18,10,22,T,8,,107
2009-4-30,70,61,51,57,53,43,100,76,51,30.10,29.88,29.74,10,6,2,13,5,24,0.39,7,Rain,114
2009-5-1,60,53,45,44,35,26,71,51,30,30.02,29.96,29.86,10,10,10,17,8,25,0.00,3,,292
2009-5-2,64,54,43,36,31,27,70,48,25,29.98,29.93,29.87,10,10,10,16,6,26,0.00,2,,272
2009-5-3,69,57,45,42,33,29,76,50,24,29.96,29.91,29.88,10,10,10,17,5,26,0.00,0,,273
2009-5-4,71,55,39,43,36,33,92,59,26,30.07,30.02,29.96,10,10,7,18,6,22,0.00,1,,153
2009-5-5,69,61,52,45,40,33,55,44,33,30.00,29.93,29.83,10,10,8,20,8,23,T,3,,171
2009-5-6,72,64,55,56,53,42,93,75,57,29.82,29.74,29.68,10,7,2,14,7,23,0.52,5,Rain-Thunderstorm,199
2009-5-7,73,63,52,56,51,40,100,66,31,29.73,29.71,29.68,10,7,2,14,5,24,0.00,4,,231
2009-5-8,75,61,46,54,46,36,93,59,25,29.71,29.66,29.57,10,9,3,18,4,23,0.25,2,Rain-Thunderstorm,189
2009-5-9,56,50,44,52,47,38,93,76,59,30.11,29.72,29.47,10,7,1,30,10,36,0.94,7,Rain-Thunderstorm,339
2009-5-10,59,50,40,43,40,38,82,67,51,30.17,30.13,30.09,10,10,7,17,6,23,0.00,6,,308
