CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-1-1,5,-2,-9,-3,-8,-18,76,67,56,30.66,30.53,30.39,10,10,8,13,8,20,0.00,3,Snow,312
2010-1-2,-2,-10,-17,-15,-18,-22,78,68,54,30.68,30.65,30.61,10,10,9,7,4,,0.00,0,,321
2010-1-3,7,-5,-17,-4,-13,-23,83,73,60,30.71,30.67,30.64,10,10,9,6,1,,0.00,0,,321
2010-1-4,6,-2,-11,-7,-12,-17,79,67,55,30.63,30.56,30.50,10,10,10,8,5,,0.00,0,,310
2010-1-5,7,-1,-9,-8,-11,-15,83,67,48,30.50,30.45,30.36,10,10,9,6,3,,0.00,0,,309
2010-1-6,16,7,-2,7,-1,-8,83,70,59,30.36,30.30,30.23,10,10,9,9,1,,0.00,3,,341
2010-1-7,15,10,5,5,2,-2,80,76,59,30.47,30.28,30.16,10,4,1,18,13,25,0.00,7,Snow,343
2010-1-8,6,0,-7,-1,-6,-13,79,72,60,30.61,30.55,30.47,10,10,10,9,7,,0.00,1,Snow,315
2010-1-9,9,-1,-11,-2,-10,-16,83,71,52,30.65,30.57,30.41,10,10,9,10,3,,0.00,0,,191
2010-1-10,16,8,0,7,1,-9,74,67,60,30.38,30.15,30.04,10,10,10,14,9,22,0.00,1,,229
2010-1-11,23,16,6,12,8,2,88,75,60,30.53,30.41,30.19,10,10,8,10,6,,0.00,3,,327
2010-1-12,25,14,3,15,8,0,88,80,66,30.51,30.29,30.04,10,7,1,15,6,,0.00,2,Snow,177
2010-1-13,28,22,17,22,19,12,100,87,72,30.02,29.88,29.77,7,4,2,13,8,,0.00,4,,175
2010-1-14,32,22,12,27,21,10,96,87,72,30.25,30.00,29.78,10,5,0,13,6,,0.00,6,Fog,310
2010-1-15,28,19,10,25,18,7,96,89,84,30.29,30.22,30.10,10,9,4,12,4,,0.00,5,,184
2010-1-16,35,26,16,24,20,14,96,80,64,30.10,29.96,29.88,10,9,7,16,9,23,0.00,0,,181
2010-1-17,36,28,19,27,22,18,96,85,70,29.96,29.89,29.84,10,6,2,7,3,,0.00,0,,262
2010-1-18,33,24,14,23,19,10,100,83,60,30.03,29.98,29.92,10,7,0,9,3,,0.00,3,Fog,295
2010-1-19,21,14,8,20,13,6,100,89,79,30.07,30.01,29.97,7,4,0,9,2,,0.00,7,Fog-Snow,114
2010-1-20,28,24,21,20,18,16,93,78,69,30.01,29.94,29.85,10,10,8,15,9,21,0.00,7,,99
2010-1-21,28,26,24,27,23,20,93,85,78,29.93,29.90,29.84,10,8,4,9,6,16,0.02,8,Rain,76
2010-1-22,33,30,28,30,28,25,100,88,80,29.96,29.89,29.79,10,6,2,18,7,28,0.02,8,Rain,117
2010-1-23,36,34,33,36,33,29,100,93,85,29.77,29.54,29.39,8,5,2,22,13,30,0.23,8,Rain,129
2010-1-24,35,34,33,36,33,30,100,95,85,29.39,29.25,29.17,10,3,0,13,6,22,0.00,8,Fog-Rain-Snow,280
2010-1-25,34,26,16,29,17,7,93,79,68,29.72,29.32,29.18,10,4,1,23,16,30,0.01,8,Snow,301
2010-1-26,15,9,3,7,1,-5,77,69,58,30.07,29.94,29.69,10,10,9,18,14,26,0.00,5,Snow,288
2010-1-27,10,6,3,-1,-3,-6,76,66,56,30.32,30.12,30.02,10,10,10,20,12,29,0.00,2,,275
2010-1-28,6,3,0,-6,-8,-9,72,63,52,30.61,30.54,30.34,10,10,4,13,9,18,0.00,1,,289
2010-1-29,12,2,-7,-2,-6,-12,83,68,49,30.59,30.51,30.40,10,10,9,8,2,,0.00,0,,164
2010-1-30,18,8,-2,5,-1,-6,88,65,40,30.39,30.28,30.20,10,9,6,8,2,,0.00,4,,240
2010-1-31,16,10,3,5,0,-3,84,69,52,30.39,30.32,30.21,10,10,8,9,5,,0.00,2,,310
2010-2-1,15,10,6,11,7,-1,84,77,61,30.35,30.20,30.07,10,4,0,10,4,,0.04,7,Snow,71
2010-2-2,19,14,6,12,10,2,84,79,71,30.23,30.10,30.04,10,6,2,8,5,,0.01,5,Snow,339
2010-2-3,21,10,-2,14,6,-6,92,79,66,30.36,30.30,30.22,10,8,1,9,2,,0.00,3,,151
2010-2-4,28,24,19,27,23,14,93,88,74,30.27,30.21,30.16,9,3,1,8,5,,0.04,8,Rain-Snow,113
2010-2-5,33,30,28,29,27,23,93,89,79,30.23,30.16,30.13,10,2,1,9,5,,0.08,8,Snow,52
2010-2-6,28,23,18,23,16,11,84,73,57,30.31,30.26,30.20,10,10,10,9,6,,0.00,6,,70
2010-2-7,24,19,14,20,16,12,93,79,60,30.22,30.10,30.03,10,5,2,12,6,17,0.01,8,Snow,130
2010-2-8,25,24,23,22,20,19,88,85,78,30.17,30.09,30.02,4,2,0,16,9,22,0.05,8,Fog-Snow,82
2010-2-9,26,21,14,21,17,9,93,81,69,30.22,30.17,30.13,10,6,2,18,9,25,0.00,7,Snow,16
2010-2-10,21,11,1,7,3,-2,88,73,53,30.28,30.25,30.22,10,10,9,7,4,,0.00,0,,312
2010-2-11,27,12,-2,10,2,-9,87,72,45,30.23,30.16,30.10,10,9,4,5,0,,0.00,0,,167
2010-2-12,28,14,0,15,7,-4,96,83,53,30.14,30.08,30.02,10,4,0,8,2,,0.00,2,Fog-Snow,271
2010-2-13,21,12,3,16,8,-1,100,87,71,30.06,30.03,29.99,7,4,0,4,2,,0.00,5,Fog-Snow,275
2010-2-14,24,14,3,19,13,-2,93,79,53,30.07,29.99,29.93,10,5,1,16,7,23,0.00,5,Snow,331
2010-2-15,28,26,23,20,16,9,88,67,45,30.11,30.01,29.95,10,8,2,15,10,23,0.01,6,Snow,341
2010-2-16,34,24,15,15,8,4,64,47,32,30.17,30.12,30.09,10,10,10,16,10,22,0.00,1,,318
2010-2-17,36,26,16,13,8,4,59,51,39,30.14,30.11,30.09,10,10,10,10,8,,0.00,2,,303
2010-2-18,35,24,12,12,7,3,67,52,37,30.19,30.16,30.14,10,10,10,9,4,,0.00,0,,297
2010-2-19,33,20,6,11,7,1,92,58,35,30.22,30.19,30.16,10,10,10,5,0,,0.00,2,,253
2010-2-20,33,24,15,17,12,8,85,62,40,30.21,30.18,30.16,10,10,6,8,3,,0.00,5,,274
2010-2-21,28,19,10,17,13,7,92,78,61,30.22,30.15,30.05,10,8,1,8,3,,0.00,0,,294
2010-2-22,30,22,12,18,14,9,84,69,57,30.04,29.98,29.94,10,10,9,13,6,,0.00,6,,303
2010-2-23,23,16,9,12,8,-3,88,72,52,30.18,29.98,29.86,10,7,1,16,8,24,0.00,5,Snow,309
2010-2-24,19,10,0,0,-4,-8,80,58,40,30.28,30.25,30.19,10,10,10,10,6,,0.00,0,,332
2010-2-25,28,13,-2,10,3,-6,87,69,45,30.31,30.27,30.24,10,10,9,6,0,,0.00,0,,109
2010-2-26,32,18,3,10,3,-1,96,58,29,30.29,30.23,30.17,10,9,6,8,2,,0.00,0,,320
2010-2-27,37,22,8,12,4,-4,58,44,32,30.17,30.13,30.08,10,10,10,13,6,,0.00,0,,312
2010-2-28,39,27,15,23,11,0,85,56,37,30.29,30.19,30.12,10,10,10,9,2,,0.00,0,,358
2010-3-1,37,24,12,21,17,8,92,71,47,30.39,30.33,30.26,10,10,6,9,1,,0.00,0,,328
2010-3-2,41,28,15,21,17,11,96,67,38,30.25,30.18,30.13,10,9,5,7,2,,0.00,0,,302
2010-3-3,39,28,18,23,18,13,85,66,45,30.19,30.17,30.13,10,10,8,8,4,,0.00,0,,303
2010-3-4,39,27,15,24,19,11,100,74,49,30.23,30.19,30.16,10,6,2,8,1,,0.00,0,,154
2010-3-5,44,34,24,25,22,17,81,64,45,30.36,30.30,30.23,10,9,7,12,6,,0.00,0,,165
2010-3-6,41,30,18,29,22,15,96,68,51,30.37,30.29,30.17,10,8,4,10,3,,0.00,2,Rain,138
2010-3-7,48,40,33,32,31,30,89,74,52,30.17,30.12,30.08,8,6,4,7,2,,0.00,5,Rain,53
2010-3-8,37,36,35,36,34,33,100,91,86,30.10,30.01,29.89,9,4,2,10,4,,0.00,8,,158
2010-3-9,39,36,33,37,34,33,100,94,79,29.87,29.78,29.65,7,3,1,10,7,,0.04,8,Rain,102
2010-3-10,42,38,35,40,38,35,100,94,87,29.63,29.54,29.46,5,3,1,14,7,,0.26,8,Rain,94
2010-3-11,46,40,35,45,40,35,100,96,89,29.64,29.56,29.47,6,3,0,13,7,20,0.20,8,Fog-Rain,66
2010-3-12,43,40,37,43,39,37,100,98,93,29.86,29.72,29.57,8,2,0,8,4,,0.14,8,Fog-Rain,9
2010-3-13,46,42,37,41,39,37,100,92,81,29.96,29.86,29.81,10,7,1,13,8,18,0.00,8,,11
2010-3-14,64,52,41,45,42,39,96,78,46,30.17,30.07,29.95,10,7,2,12,7,21,0.00,5,,356
2010-3-15,59,50,42,44,41,40,93,80,58,30.31,30.25,30.17,10,10,8,13,5,17,0.00,6,,301
2010-3-16,52,46,41,43,40,37,96,86,71,30.30,30.27,30.22,10,8,4,9,7,,0.08,7,Rain,312
2010-3-17,57,46,34,41,37,32,93,76,53,30.26,30.17,30.00,10,10,10,14,6,17,0.00,0,,279
2010-3-18,64,52,39,39,35,32,86,62,33,29.98,29.89,29.81,10,10,10,14,9,21,0.00,1,,270
2010-3-19,44,37,30,31,20,16,65,59,50,30.25,30.05,29.87,10,10,10,18,15,26,0.00,7,,328
2010-3-20,37,30,23,17,12,6,69,49,29,30.37,30.30,30.25,10,10,10,12,7,16,0.00,0,,303
2010-3-21,51,36,23,25,21,18,81,58,33,30.23,30.14,30.03,10,10,10,12,4,,0.00,0,,224
2010-3-22,55,40,26,28,22,15,84,50,22,30.04,29.91,29.80,10,10,10,17,5,24,0.00,0,,154
2010-3-23,60,47,35,31,24,19,61,41,24,30.10,29.91,29.78,10,10,10,13,6,18,0.00,0,,22
2010-3-24,54,42,30,29,19,13,62,41,21,30.19,30.12,30.06,10,10,10,15,7,20,0.00,0,,318
2010-3-25,41,32,23,30,4,-7,65,33,19,30.27,30.18,30.08,10,10,10,17,11,26,0.00,1,,13
2010-3-26,52,40,28,24,15,2,42,36,32,30.14,30.00,29.88,10,10,10,20,10,28,0.00,3,,145
2010-3-27,53,46,41,34,28,23,63,50,43,29.96,29.92,29.89,10,10,10,14,9,,0.00,7,Rain,168
2010-3-28,53,43,33,37,26,20,80,55,31,30.04,30.00,29.95,10,10,10,15,8,24,0.00,2,,347
2010-3-29,60,46,32,30,27,22,73,48,31,30.01,29.89,29.70,10,10,10,18,7,28,0.00,0,,160
2010-3-30,75,60,48,40,36,28,59,41,27,29.69,29.49,29.37,10,10,10,23,14,33,0.00,0,,165
2010-3-31,73,62,46,45,40,34,74,46,25,29.73,29.54,29.37,10,10,10,14,10,26,0.00,0,,238
2010-4-1,80,62,44,54,44,36,73,50,37,29.73,29.54,29.35,10,10,10,15,6,24,0.00,0,,93
2010-4-2,73,60,46,56,50,31,82,63,53,29.50,29.37,29.27,10,10,5,21,14,30,0.08,2,Rain,172
2010-4-3,61,50,41,33,29,25,67,46,27,29.73,29.65,29.52,10,10,10,24,15,43,0.00,3,,247
2010-4-4,66,58,51,37,34,29,53,41,28,29.82,29.72,29.66,10,10,10,17,11,25,0.00,2,,239
2010-4-5,61,51,42,39,32,24,82,48,26,29.97,29.88,29.78,10,10,10,12,6,,0.00,2,,228
2010-4-6,54,50,44,41,37,34,82,61,50,29.77,29.70,29.65,10,10,10,17,6,28,0.04,5,Rain,60
2010-4-7,57,47,39,38,20,17,82,35,23,29.92,29.86,29.78,10,10,10,17,9,25,0.00,2,,7
2010-4-8,53,42,30,26,21,17,76,49,26,29.96,29.92,29.86,10,10,10,14,7,26,0.00,2,,346
2010-4-9,66,46,26,35,25,21,81,46,22,29.99,29.92,29.83,10,10,10,13,4,18,0.00,1,,139
2010-4-10,64,53,43,35,23,9,68,37,13,30.20,30.10,29.86,10,10,10,17,8,25,0.00,0,,291
2010-4-11,70,50,30,29,22,18,69,36,14,30.33,30.28,30.21,10,10,10,7,1,,0.00,0,,212
2010-4-12,69,52,39,45,35,27,67,46,32,30.28,30.21,30.12,10,10,10,13,5,20,0.00,2,,115
2010-4-13,70,58,46,46,44,37,93,68,42,30.20,30.15,30.06,10,8,2,17,10,30,0.59,5,Rain-Thunderstorm,102
2010-4-14,73,64,55,59,52,43,84,68,46,30.13,30.06,29.99,10,10,8,18,12,31,0.11,4,Rain,171
2010-4-15,71,63,55,59,50,39,93,64,37,30.11,29.99,29.94,10,10,6,21,12,30,0.27,3,Rain,243
2010-4-16,61,53,46,41,28,16,71,43,19,30.30,30.23,30.13,10,10,10,22,14,31,0.00,1,,326
2010-4-17,66,52,37,31,25,22,60,37,22,30.34,30.26,30.18,10,10,9,16,7,22,0.00,0,,335
2010-4-18,68,52,35,34,29,25,85,46,21,30.26,30.21,30.15,10,10,10,10,1,,0.00,0,,340
2010-4-19,69,54,39,38,33,30,82,48,24,30.21,30.14,30.07,10,10,10,9,2,,0.00,0,,113
2010-4-20,72,57,43,42,35,29,82,48,21,30.07,29.98,29.85,10,10,10,7,1,,0.00,0,,290
2010-4-21,61,50,39,35,30,21,70,50,26,29.95,29.90,29.86,10,10,10,13,8,18,0.00,1,,36
2010-4-22,66,47,30,30,25,22,79,47,19,29.90,29.85,29.78,10,10,10,6,2,,0.00,0,,14
2010-4-23,69,53,37,48,39,30,77,56,37,29.80,29.75,29.72,10,10,7,17,5,24,0.01,2,Rain,121
2010-4-24,57,54,51,52,48,42,100,84,62,29.70,29.65,29.59,10,7,2,16,8,20,0.45,8,Rain,73
2010-4-25,61,54,48,52,41,31,100,69,42,29.75,29.62,29.55,10,9,2,20,8,28,0.09,4,Rain,8
2010-4-26,64,54,44,35,29,17,61,43,22,29.83,29.75,29.71,10,10,10,14,6,20,0.00,1,,23
2010-4-27,61,49,37,29,24,17,70,41,20,30.00,29.93,29.85,10,10,10,9,4,17,0.00,0,,22
2010-4-28,69,51,34,35,30,28,85,46,24,29.89,29.77,29.61,10,10,10,17,5,25,0.00,0,,134
2010-4-29,71,64,54,55,47,36,90,59,44,29.61,29.31,29.14,10,10,10,20,12,29,0.00,5,,136
