CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-1-1,30,18,6,20,10,-2,74,66,58,29.98,29.75,29.64,10,9,3,20,13,31,0.00,4,Snow,236
2009-1-2,12,6,0,3,-2,-6,79,69,56,30.04,29.96,29.82,10,10,10,12,8,,0.00,2,,297
2009-1-3,25,18,12,22,15,2,93,77,51,30.00,29.89,29.81,10,5,1,14,8,21,0.16,7,Rain-Snow,23
2009-1-4,21,10,-6,13,-8,-11,83,68,60,30.35,30.22,29.93,10,10,9,17,12,24,0.00,2,,270
2009-1-5,21,8,-6,13,3,-10,88,74,55,30.27,29.97,29.73,10,10,10,12,4,,0.00,0,,176
2009-1-6,24,17,10,13,10,7,88,70,60,29.70,29.55,29.47,10,10,9,12,8,,0.00,1,,181
2009-1-7,12,8,3,8,2,-3,81,75,67,29.78,29.52,29.43,10,7,2,16,10,22,0.00,5,Snow,294
2009-1-8,12,5,-2,3,-3,-7,83,71,54,30.02,29.96,29.80,10,10,10,10,6,,0.00,1,,290
2009-1-9,17,14,10,7,5,3,85,67,56,30.35,30.10,29.92,10,8,2,12,7,,0.00,7,Snow,51
2009-1-10,17,8,0,5,0,-4,83,67,50,30.36,30.26,30.11,10,10,10,7,4,,0.00,1,,237
2009-1-11,17,10,3,9,7,0,92,83,68,30.16,30.09,30.01,10,6,1,12,4,,0.02,6,Snow,272
2009-1-12,14,7,-2,10,4,-12,91,80,58,30.34,30.09,29.97,10,5,0,20,6,29,0.04,6,Fog-Snow,20
2009-1-13,-2,-10,-18,-9,-16,-24,84,70,56,30.41,30.26,30.07,10,7,1,12,7,,0.01,3,Snow,11
2009-1-14,-4,-10,-17,-9,-16,-24,84,67,54,30.68,30.39,30.09,10,8,1,15,10,23,0.00,3,Snow,341
2009-1-15,-6,-14,-22,-17,-22,-27,79,70,59,30.80,30.75,30.70,10,10,10,13,8,,0.00,0,,266
2009-1-16,8,-6,-20,5,-10,-26,87,75,56,30.70,30.37,29.93,10,8,2,17,5,22,0.00,4,Snow,164
2009-1-17,21,14,8,16,10,4,85,75,64,29.94,29.80,29.70,10,6,2,24,13,34,0.00,7,Snow,303
2009-1-18,26,16,7,20,13,4,92,80,67,30.08,29.89,29.76,10,6,1,14,5,20,0.00,6,Snow,349
2009-1-19,21,11,1,13,9,-3,92,78,68,30.18,30.02,29.91,10,9,4,12,4,,0.00,6,Snow,324
2009-1-20,19,12,6,15,10,4,92,78,65,30.26,30.11,29.91,10,10,8,10,6,17,0.00,3,,232
2009-1-21,28,22,15,18,16,13,93,85,66,29.95,29.88,29.82,10,7,4,8,5,,0.00,4,,242
2009-1-22,28,16,5,18,12,2,96,85,64,29.87,29.82,29.79,5,3,0,6,2,,0.00,0,Fog,312
2009-1-23,21,8,-7,16,3,-15,93,74,56,30.61,30.16,29.82,10,8,2,24,14,31,0.00,5,,302
2009-1-24,1,-5,-11,-10,-14,-17,78,66,52,30.63,30.54,30.43,10,10,10,13,9,,0.00,0,,261
2009-1-25,7,0,-7,-10,-12,-15,69,60,44,30.47,30.44,30.40,10,10,10,13,7,,0.00,0,,264
2009-1-26,6,-1,-8,-8,-11,-14,75,64,50,30.56,30.52,30.48,10,10,10,12,5,,0.00,0,,270
2009-1-27,10,2,-6,-3,-8,-13,83,65,48,30.55,30.36,30.11,10,10,9,8,4,,0.00,2,,223
2009-1-28,16,6,-2,13,4,-5,92,82,67,30.08,29.83,29.70,10,6,2,12,5,,0.01,5,Snow,184
2009-1-29,19,10,1,16,5,-5,86,72,59,30.10,29.94,29.71,10,9,4,17,10,,0.00,4,Snow,296
2009-1-30,19,6,-8,18,3,-11,93,77,56,30.18,30.07,29.86,10,10,7,9,5,,0.00,4,,210
2009-1-31,45,34,23,28,25,20,92,71,49,29.88,29.60,29.44,10,9,7,20,10,30,0.00,1,,234
2009-2-1,33,28,23,20,18,14,71,65,59,30.01,29.88,29.71,10,10,10,18,14,25,0.00,0,,271
2009-2-2,18,9,0,4,-4,-9,73,64,54,30.35,30.16,30.01,10,9,4,18,15,28,0.00,2,,304
2009-2-3,7,1,-5,-6,-8,-11,80,69,55,30.59,30.50,30.36,10,10,10,12,8,,0.00,0,,329
2009-2-4,15,3,-9,3,-4,-13,83,68,51,30.62,30.52,30.26,10,10,8,13,4,18,0.00,0,,174
2009-2-5,34,22,10,18,11,2,85,67,50,30.22,30.08,30.03,10,10,6,10,6,,0.00,0,,170
2009-2-6,39,26,12,34,23,11,93,82,60,30.05,29.80,29.49,8,6,4,16,5,21,0.00,0,,150
2009-2-7,36,30,23,34,25,19,100,83,70,30.29,29.85,29.45,10,6,2,20,8,26,0.00,3,,275
2009-2-8,35,24,12,26,19,11,95,78,56,30.36,30.29,30.14,10,10,7,12,5,,0.00,0,,193
2009-2-9,46,38,30,43,32,26,96,84,78,30.11,29.66,29.17,10,5,1,18,11,26,0.09,8,Rain,128
2009-2-10,45,40,35,41,34,30,93,86,79,29.68,29.33,29.08,10,9,3,24,19,36,0.15,8,Rain,216
2009-2-11,35,34,32,31,29,24,89,83,70,29.78,29.68,29.61,10,9,5,20,11,25,0.00,8,,275
2009-2-12,30,26,21,25,20,15,80,73,61,30.21,30.01,29.77,10,10,10,18,14,28,0.00,8,,283
2009-2-13,23,20,17,16,14,11,88,77,68,30.29,30.25,30.17,10,9,6,12,7,,0.00,5,,296
2009-2-14,21,15,9,10,7,4,92,74,52,30.42,30.31,30.24,10,8,2,13,8,18,0.00,2,Snow,309
2009-2-15,25,16,6,12,5,2,88,68,42,30.51,30.46,30.41,10,10,10,6,3,,0.00,0,,308
2009-2-16,37,26,14,21,15,9,80,58,42,30.40,30.18,29.96,10,10,10,17,8,22,0.00,5,,180
2009-2-17,39,32,24,32,25,18,96,75,59,29.94,29.66,29.52,10,8,2,9,6,,0.00,5,Snow,118
2009-2-18,33,21,7,31,16,-3,93,76,51,30.16,29.74,29.51,10,6,2,20,10,29,0.00,5,Snow,341
2009-2-19,17,9,1,1,-2,-5,76,59,41,30.26,30.21,30.18,10,10,10,12,9,18,0.00,0,,304
2009-2-20,26,14,3,21,13,0,100,81,49,30.17,29.99,29.89,10,5,0,9,3,16,0.12,5,Fog-Snow,101
2009-2-21,19,13,5,18,11,-1,96,79,62,30.33,30.06,29.89,10,6,1,20,11,24,0.02,5,Snow,334
2009-2-22,18,9,0,5,1,-4,87,72,56,30.63,30.51,30.35,10,10,10,10,8,,0.00,1,,306
2009-2-23,21,10,-2,11,3,-7,92,69,50,30.65,30.52,30.27,10,10,8,14,3,22,0.00,0,,144
2009-2-24,39,29,19,30,21,11,82,71,57,30.25,30.01,29.87,10,10,8,14,10,21,0.00,1,,152
2009-2-25,37,29,21,32,24,14,85,72,56,30.19,30.00,29.78,10,9,5,18,9,21,0.00,2,,294
2009-2-26,25,20,12,21,16,8,93,84,74,30.18,29.96,29.81,10,4,0,21,10,32,0.07,6,Fog-Snow,16
2009-2-27,12,6,1,7,-5,-9,77,60,44,30.58,30.39,30.13,10,10,9,16,10,23,0.00,1,Snow,7
2009-2-28,18,7,-4,0,-5,-11,76,59,37,30.63,30.57,30.50,10,10,10,13,4,,0.00,0,,297
2009-3-1,15,6,-2,-2,-6,-8,79,57,39,30.81,30.70,30.62,10,10,10,8,6,,0.00,1,,352
2009-3-2,21,13,5,1,-1,-4,70,52,37,30.62,30.57,30.48,10,10,10,12,5,,0.00,1,,126
2009-3-3,28,22,15,15,11,0,71,62,51,30.49,30.30,30.15,10,10,10,21,12,28,0.00,3,,147
2009-3-4,37,30,24,28,21,15,73,65,57,30.14,29.97,29.78,10,10,9,17,12,24,0.00,0,,149
2009-3-5,41,38,34,38,35,28,100,89,73,29.75,29.60,29.52,9,4,1,12,7,,0.00,6,,211
2009-3-6,44,37,30,36,31,25,93,79,65,30.06,29.89,29.67,10,6,2,13,8,,0.00,4,,278
2009-3-7,34,29,24,25,19,15,85,69,50,30.07,30.04,30.00,10,10,10,12,7,,0.00,4,,315
2009-3-8,37,30,23,23,20,15,92,72,57,30.06,29.95,29.88,10,10,8,9,4,,0.00,4,,27
2009-3-9,36,28,19,36,30,18,100,96,86,30.14,30.06,29.98,8,3,1,12,3,,0.01,6,,138
2009-3-10,35,22,5,35,26,1,100,96,79,29.98,29.75,29.62,9,2,0,24,8,37,0.12,8,Fog-Rain-Snow,327
2009-3-11,6,2,-2,0,-7,-11,85,70,58,30.81,30.42,29.95,10,9,2,23,17,32,0.00,3,Snow,279
2009-3-12,17,6,-6,3,-6,-12,79,62,41,30.82,30.70,30.53,10,10,9,9,4,,0.00,0,,214
2009-3-13,36,21,6,24,17,2,85,74,59,30.51,30.31,30.17,10,10,9,14,4,20,0.00,2,,213
2009-3-14,50,36,25,33,28,23,96,71,50,30.16,30.01,29.93,10,9,7,18,8,25,0.00,0,,181
2009-3-15,55,44,33,37,33,30,89,68,45,29.97,29.94,29.92,10,10,8,17,8,24,0.00,0,,164
2009-3-16,64,50,37,48,40,33,100,79,48,29.98,29.93,29.88,10,6,0,20,8,29,0.00,0,Fog,172
2009-3-17,54,44,33,43,36,24,100,84,37,30.14,29.91,29.76,10,5,0,15,4,34,0.00,1,Fog,281
2009-3-18,48,37,26,32,26,20,92,64,39,30.37,30.23,30.14,10,10,10,20,8,32,0.00,1,,298
2009-3-19,37,28,19,20,12,8,75,54,36,30.55,30.47,30.38,10,10,10,9,6,,0.00,0,,359
